งบประมาณ (บาท),การใช้งานหลัก,ความสำคัญของกล้อง,ขนาดหน้าจอ,ต้องการ S Pen,ชอบจอพับได้,ใช้ Samsung รุ่นไหนอยู่ปัจจุบัน,ชอบโทรศัพท์ที่ใช้อยู่ปัจจุบันหรือไม่
0,4,3,3,1,1,Galaxy A,Like
0,1,2,1,0,0,Galaxy Z,Like
3,2,1,1,1,1,Galaxy A,Like
2,2,1,2,0,1,Galaxy A,Dislike
2,4,1,3,0,0,Galaxy Z,Like
0,3,2,1,0,1,Galaxy A,Like
1,1,3,2,1,0,Galaxy Z,Dislike
0,2,2,1,1,0,Galaxy Z,Dislike
1,2,1,3,0,0,Galaxy S,Like
2,2,1,3,1,0,Galaxy S,Dislike
1,1,2,1,1,1,Galaxy S,Dislike
2,2,2,2,0,1,Galaxy A,Like
1,3,1,2,1,1,Galaxy A,Like
1,3,2,2,0,1,Galaxy A,Dislike
2,2,2,2,0,1,Galaxy Z,Dislike
0,1,3,2,0,1,Galaxy A,Dislike
2,3,2,1,0,0,Galaxy Z,Dislike
0,4,2,3,0,1,Galaxy S,Like
2,3,1,1,0,1,Galaxy A,Dislike
2,2,3,2,0,0,Galaxy A,Like
0,2,3,1,0,0,Galaxy A,Like
1,2,1,3,0,1,Galaxy Z,Like
3,1,3,1,0,1,Galaxy A,Dislike
0,4,1,2,1,0,Galaxy S,Dislike
1,1,3,1,0,1,Galaxy A,Dislike
3,1,2,3,0,1,Galaxy S,Like
0,1,1,1,1,0,Galaxy Z,Like
1,2,1,1,1,0,Galaxy Z,Like
2,1,3,3,0,1,Galaxy Z,Dislike
2,3,3,2,0,1,Galaxy Z,Like
3,3,3,3,0,1,Galaxy A,Dislike
0,3,2,2,1,0,Galaxy A,Like
0,3,2,1,0,1,Galaxy A,Like
1,3,3,1,0,0,Galaxy Z,Dislike
1,2,3,2,0,1,Galaxy S,Dislike
1,1,2,1,0,0,Galaxy S,Like
2,3,3,1,1,1,Galaxy Z,Dislike
0,1,2,2,0,0,Galaxy S,Like
2,2,1,2,0,1,Galaxy Z,Like
1,1,2,1,1,1,Galaxy S,Dislike
0,1,1,3,0,0,Galaxy S,Dislike
0,1,1,2,1,0,Galaxy S,Dislike
1,3,2,3,0,1,Galaxy A,Dislike
3,4,1,3,1,0,Galaxy A,Dislike
2,4,2,1,1,1,Galaxy S,Like
3,4,3,2,0,0,Galaxy Z,Like
1,1,3,1,0,0,Galaxy S,Dislike
1,1,1,2,0,0,Galaxy S,Dislike
1,3,2,3,1,0,Galaxy S,Like
1,4,1,2,1,1,Galaxy Z,Dislike
0,1,1,1,1,1,Galaxy Z,Like
1,2,1,2,0,0,Galaxy A,Like
3,1,3,1,1,0,Galaxy A,Like
3,3,1,3,0,0,Galaxy Z,Like
0,1,2,2,1,0,Galaxy A,Dislike
1,1,3,1,0,0,Galaxy A,Like
0,4,2,3,0,1,Galaxy S,Like
3,2,2,3,1,1,Galaxy S,Dislike
3,4,3,2,1,0,Galaxy S,Like
1,1,1,3,1,1,Galaxy A,Dislike
0,2,1,1,1,0,Galaxy Z,Like
1,1,1,1,1,1,Galaxy A,Dislike
0,3,3,3,1,1,Galaxy Z,Like
0,2,1,2,0,0,Galaxy S,Dislike
0,1,3,1,0,0,Galaxy A,Like
1,3,2,1,1,0,Galaxy Z,Dislike
0,2,2,1,0,1,Galaxy A,Like
1,4,3,3,0,1,Galaxy S,Dislike
1,1,1,1,1,1,Galaxy S,Dislike
3,1,2,2,0,1,Galaxy Z,Dislike
1,3,1,2,1,1,Galaxy S,Dislike
0,1,1,2,0,1,Galaxy A,Dislike
3,4,2,2,1,1,Galaxy Z,Dislike
2,4,1,1,1,0,Galaxy S,Like
3,4,1,1,0,1,Galaxy S,Like
0,1,3,1,0,0,Galaxy Z,Like
3,3,1,2,0,1,Galaxy A,Like
3,1,3,2,1,1,Galaxy A,Dislike
3,3,2,1,1,0,Galaxy A,Like
2,3,1,1,0,1,Galaxy Z,Dislike
3,4,2,1,0,1,Galaxy Z,Like
2,2,2,1,1,0,Galaxy A,Dislike
2,3,2,2,1,1,Galaxy S,Dislike
0,3,1,1,1,1,Galaxy Z,Like
0,1,3,3,0,1,Galaxy S,Like
2,1,2,2,0,0,Galaxy A,Like
2,2,3,2,1,0,Galaxy S,Like
3,4,3,1,1,1,Galaxy A,Dislike
1,4,3,2,0,0,Galaxy A,Dislike
3,4,3,3,1,1,Galaxy A,Dislike
2,3,1,3,1,0,Galaxy A,Dislike
2,2,2,2,1,0,Galaxy S,Dislike
2,4,1,1,0,1,Galaxy S,Dislike
3,4,1,3,0,0,Galaxy A,Like
0,1,3,1,0,1,Galaxy A,Like
2,2,3,2,0,1,Galaxy A,Like
2,1,1,1,1,1,Galaxy Z,Dislike
1,2,1,1,0,0,Galaxy S,Like
2,2,2,2,0,0,Galaxy Z,Dislike
3,1,3,2,1,1,Galaxy S,Dislike
